date,close,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,1_day_max,1_day_min,3_day_max,3_day_min,5_day_max,5_day_min,day_of_week,previous_day_numerical_sentiment,previous_day_mean_sentiment_probability,previous_day_percent_positive,previous_day_percent_negative,previous_day_percent_neutral
2026-01-28,668.73,672.97,676.815,664.66,674.59,13148719.0,677.6775,666.1,677.6775,661.2855,677.6775,661.2855,3,0.1588785046728972,0.7909405780172793,0.2990654205607476,0.1401869158878504,0.5607476635514018
2026-01-29,738.31,668.73,677.6775,666.1,674.5,25709600.0,744.0,712.55,744.0,664.66,744.0,661.2855,4,0.1705426356589147,0.8010101489318434,0.3023255813953488,0.1317829457364341,0.5658914728682171
2026-01-30,716.5,738.31,744.0,712.55,737.43,59852903.0,732.17,713.59,744.0,666.1,744.0,661.2855,5,-0.027027027027027,0.8061342863617716,0.2094594594594594,0.2364864864864864,0.5540540540540541
2026-02-02,706.41,716.5,732.17,713.59,727.5,23744573.0,721.3,703.5201,721.3,703.5201,744.0,703.5201,1,-0.109375,0.8377806060016155,0.15625,0.265625,0.578125
2026-02-03,691.7,706.41,721.3,703.5201,714.6,14365224.0,717.0,686.41,721.3,686.41,732.17,686.41,2,-0.0769230769230769,0.8140241627509778,0.1538461538461538,0.2307692307692307,0.6153846153846154
2026-02-04,668.99,691.7,717.0,686.41,707.37,13512258.0,688.83,667.46,721.3,667.46,721.3,667.46,3,-0.0961538461538461,0.7981896996498108,0.0769230769230769,0.173076923076923,0.75
2026-02-05,670.21,668.99,688.83,667.46,687.73,16882761.0,681.5,653.5,717.0,653.5,721.3,653.5,4,-0.0461538461538461,0.8076378230865185,0.1538461538461538,0.2,0.6461538461538462
2026-02-06,661.46,670.21,681.5,653.5,663.58,17131791.0,671.9899,646.5001,688.83,646.5001,721.3,646.5001,5,0.173076923076923,0.8182599149071254,0.3269230769230769,0.1538461538461538,0.5192307692307693
2026-02-09,677.22,661.46,671.9899,646.5001,665.49,18159253.0,683.3099,658.78,683.3099,658.78,683.3099,646.5001,1,-0.1388888888888889,0.8183096539643075,0.1527777777777778,0.2916666666666667,0.5555555555555556
2026-02-10,670.72,677.22,683.3099,658.78,663.18,14837529.0,680.65,669.79,683.3099,658.78,683.3099,646.5001,2,-0.0263157894736842,0.8104328422954208,0.1842105263157894,0.2105263157894736,0.6052631578947368
2026-02-11,668.69,670.72,680.65,669.79,677.6,10455816.0,679.2675,657.1,683.3099,657.1,683.3099,657.1,3,0.0,0.8070339574929206,0.1935483870967742,0.1935483870967742,0.6129032258064516
2026-02-12,649.81,668.69,679.2675,657.1,674.0,14323818.0,676.0,645.28,680.65,645.28,683.3099,645.28,4,0.0307692307692307,0.8260186685965611,0.1846153846153846,0.1538461538461538,0.6615384615384615
2026-02-13,639.77,649.81,676.0,645.28,669.97,14960108.0,651.4299,634.57,679.2675,634.57,683.3099,634.57,5,0.054054054054054,0.8206616591762852,0.2162162162162162,0.1621621621621621,0.6216216216216216
2026-02-17,639.29,639.77,651.4299,634.57,645.1,12336363.0,642.6,628.8,642.6,628.8,651.4299,628.8,2,-0.0208333333333333,0.8140955877800783,0.1666666666666666,0.1875,0.6458333333333334
2026-02-18,643.22,639.29,642.6,628.8,639.495,12674739.0,645.0,628.145,645.0,628.145,645.0,628.145,3,0.0481927710843373,0.7879584205437855,0.253012048192771,0.2048192771084337,0.5421686746987951
2026-02-19,644.78,643.22,645.0,628.145,633.8,14649196.0,647.19,636.72,647.19,628.145,647.19,628.145,4,0.0103092783505154,0.7972334942866847,0.2164948453608247,0.2061855670103092,0.5773195876288659
2026-02-20,655.66,644.78,647.19,636.72,638.57,10035698.0,663.3499,638.78,663.3499,628.145,663.3499,628.145,5,0.0476190476190476,0.8388476932332629,0.1904761904761904,0.1428571428571428,0.6666666666666666
2026-02-23,637.25,655.66,663.3499,638.78,639.685,14183512.0,657.7,636.0,657.7,636.0,663.3499,636.0,1,-0.0392156862745098,0.8551337987768883,0.1764705882352941,0.2156862745098039,0.6078431372549019
2026-02-24,639.3,637.25,657.7,636.0,652.54,8605909.0,641.11,628.98,657.7,628.98,663.3499,628.98,2,0.2083333333333333,0.7951346623400847,0.2916666666666667,0.0833333333333333,0.625
2026-02-25,653.69,639.3,641.11,628.98,633.08,10135647.0,653.88,642.14,657.7,628.98,657.7,628.98,3,0.1565217391304348,0.8058060324710349,0.2608695652173913,0.1043478260869565,0.6347826086956522
2026-02-26,657.01,653.69,653.88,642.14,642.53,11330693.0,661.0,647.5,661.0,628.98,661.0,628.98,4,-0.0285714285714285,0.8188030511140824,0.1285714285714285,0.1571428571428571,0.7142857142857143
2026-02-27,648.18,657.01,661.0,647.5,650.55,10637736.0,649.44,638.12,661.0,638.12,661.0,628.98,5,-0.1358024691358024,0.7991645435492197,0.1481481481481481,0.2839506172839506,0.5679012345679012
2026-03-02,653.56,648.18,649.44,638.12,643.45,15703041.0,659.94,634.5,659.94,634.5,661.0,634.5,1,-0.0483870967741935,0.807244265752454,0.1935483870967742,0.2419354838709677,0.5645161290322581
2026-03-03,655.08,653.56,659.94,634.5,637.16,9816125.0,659.04,638.84,659.94,634.5,659.94,634.5,2,0.0,0.8195907120351438,0.1481481481481481,0.1481481481481481,0.7037037037037037
2026-03-04,667.73,655.08,659.04,638.84,648.29,12263754.0,672.77,657.6711,672.77,634.5,672.77,634.5,3,-0.0263157894736842,0.8424080971040224,0.1578947368421052,0.1842105263157894,0.6578947368421053
2026-03-05,660.57,667.73,672.77,657.6711,657.96,10810054.0,670.7,650.31,672.77,638.84,672.77,634.5,4,0.0833333333333333,0.8075876645743847,0.25,0.1666666666666666,0.5833333333333334
2026-03-06,644.86,660.57,670.7,650.31,661.93,13341367.0,649.47,636.11,672.77,636.11,672.77,634.5,5,0.2258064516129032,0.8157067255627725,0.3225806451612903,0.0967741935483871,0.5806451612903226
2026-03-09,647.39,644.86,649.47,636.11,647.9,13159356.0,647.75,626.78,647.75,626.78,670.7,626.78,1,-0.1470588235294117,0.7599835588651545,0.2058823529411764,0.3529411764705882,0.4411764705882353
2026-03-10,654.07,647.39,647.75,626.78,634.78,13489742.0,660.3,649.0,660.3,626.78,660.3,626.78,2,-0.0294117647058823,0.8240073603742263,0.088235294117647,0.1176470588235294,0.7941176470588235
2026-03-11,654.86,654.07,660.3,649.0,653.56,9859250.0,659.12,648.36,660.3,626.78,660.3,626.78,3,0.1194029850746268,0.828273217179882,0.2238805970149253,0.1044776119402985,0.6716417910447762
2026-03-12,638.18,654.86,659.12,648.36,654.76,8977162.0,653.5,636.9,660.3,636.9,660.3,626.78,4,0.0357142857142857,0.8093047934983458,0.125,0.0892857142857142,0.7857142857142857
2026-03-13,613.71,638.18,653.5,636.9,648.75,11617485.0,629.1699,609.55,659.12,609.55,660.3,609.55,5,-0.1132075471698113,0.7848121152733857,0.1509433962264151,0.2641509433962264,0.5849056603773585
2026-03-16,627.45,613.71,629.1699,609.55,623.89,18957637.0,634.75,623.1004,634.75,623.1004,653.5,609.55,1,-0.2,0.8524389386177063,0.2,0.4,0.4
2026-03-17,622.66,627.45,634.75,623.1004,632.0,15134852.0,636.55,621.7,636.55,621.7,636.55,609.55,2,0.0606060606060606,0.7975583820029942,0.2727272727272727,0.2121212121212121,0.5151515151515151
2026-03-18,615.68,622.66,636.55,621.7,627.985,10348755.0,622.65,614.61,636.55,614.61,636.55,614.61,3,-0.0338983050847457,0.8246988285396059,0.1525423728813559,0.1864406779661017,0.6610169491525424
2026-03-19,606.7,615.68,622.65,614.61,616.34,11726301.0,613.0,602.26,636.55,602.26,636.55,602.26,4,-0.0454545454545454,0.82362513153842,0.1666666666666666,0.2121212121212121,0.6212121212121212
2026-03-20,593.66,606.7,613.0,602.26,612.15,13247696.0,603.955,587.25,622.65,587.25,636.55,587.25,5,-0.1458333333333333,0.8158869997908672,0.0833333333333333,0.2291666666666666,0.6875
2026-03-23,604.06,593.66,603.955,587.25,603.53,21214898.0,608.64,599.01,608.64,599.01,613.0,587.25,1,-0.2790697674418604,0.8027826055537822,0.0697674418604651,0.3488372093023256,0.5813953488372093
2026-03-24,592.92,604.06,608.64,599.01,605.787,13637959.0,601.0,591.0,608.64,591.0,608.64,587.25,2,-0.1627906976744186,0.8351433332576308,0.0697674418604651,0.2325581395348837,0.6976744186046512
